"ssn","zip_code","fico","num_late","past_def","num_bankruptcy"
100091104,65823,816,0,0,0
100321883,52197,687,0,0,0
101091399,71870,721,0,0,0
101458458,16217,560,1,0,0
101754201,80303,638,0,0,0
101819983,95909,424,3,2,2
101927311,80491,822,1,0,0
102203310,40025,670,0,0,0
102318456,28759,536,2,0,0
102698237,10355,832,3,0,0
102819663,85254,582,1,0,0
102942124,12556,745,1,0,0
103217078,62744,373,5,2,1
103226231,74225,768,1,0,0
103833631,74212,813,3,0,0
103894240,29702,562,0,0,0
104021247,46342,624,2,0,0
104544183,75322,530,3,0,0
104902361,92424,597,1,0,0
105454682,97413,681,0,0,0
105625899,64460,307,1,1,3
107139605,31867,702,0,0,0
107899600,92091,546,1,1,1
107928385,25703,710,0,0,0
108100559,32024,826,2,0,0
108342108,78806,631,1,0,0
108387720,89005,833,2,0,0
108551469,49832,560,2,1,2
109226677,97338,501,2,2,1
109518610,44009,813,0,0,0
109719947,48647,805,4,0,0
110896452,28906,765,0,0,0
111637670,25991,571,1,0,0
112026681,97286,556,0,0,0
112479781,81446,679,1,1,1
112502127,63173,632,0,0,0
112529161,75133,803,0,0,0
113157370,56389,783,2,0,0
113169870,90011,608,5,1,1
113387263,34725,671,0,0,0
113841331,34789,868,2,0,0
114004570,46114,379,5,1,1
114279079,72265,890,0,0,0
114598416,98439,860,0,0,0
114929129,19953,644,0,0,0
115102384,77123,871,1,0,0
115175276,89687,500,1,1,1
115225829,87716,363,3,1,2
115251910,23176,652,0,0,0
115311578,23635,408,2,1,2
115771425,62606,876,0,0,0
115820266,59895,625,0,0,0
115994183,86567,437,1,1,1
116406309,64671,832,2,0,0
116821244,46487,790,0,0,0
117135857,23582,750,1,0,0
117659677,37102,564,0,0,0
117739886,55033,738,3,0,0
117757061,36322,717,1,0,0
118368220,87551,706,0,0,0
118399252,93310,711,0,0,0
118698376,38657,751,0,0,0
118700453,99364,495,1,2,2
119214735,76943,663,5,0,0
119284411,97959,794,1,0,0
119558073,96196,585,0,0,0
119931426,91073,351,1,2,2
120404907,56036,680,1,0,0
120609220,86888,575,0,0,0
120698340,92228,833,2,0,0
120828656,21182,866,0,0,0
121072109,21857,623,1,0,0
121118289,20293,756,1,0,0
121371203,33530,818,2,0,0
121555448,37515,392,1,1,2
121573429,21728,780,4,0,0
121804809,83233,727,1,0,0
121844912,77213,722,0,0,0
122077664,19748,727,3,0,0
122508856,17209,691,3,0,0
122817991,58813,588,0,0,0
123270706,90808,825,0,0,0
123817237,49020,427,3,1,1
124249214,22027,584,0,0,0
124290268,55136,767,0,0,0
124363325,40484,870,0,0,0
124754707,35896,793,1,0,0
124860189,68302,605,1,0,0
124909303,75486,560,3,0,0
125120533,52619,823,0,0,0
125543461,57231,694,0,0,0
125755411,10723,846,0,0,0
126077181,28625,595,0,0,0
126676131,17090,569,0,0,0
127003001,15857,602,1,0,0
127080001,41396,603,5,0,0
127132479,18183,681,0,0,0
127313708,50911,460,1,1,1
127737795,78188,886,0,0,0
127869147,61662,557,3,1,1
128110287,36311,528,2,1,1
128529016,82079,750,0,0,0
128694096,91056,829,0,0,0
128803450,58913,690,0,0,0
129365981,97279,692,0,0,0
129492339,89898,628,3,1,1
129951186,23233,820,0,0,0
130339244,22915,769,0,0,0
130567820,61332,872,0,0,0
130695544,86092,686,0,0,0
130704827,17384,706,2,1,1
131961114,94306,542,3,0,0
132687746,73912,788,0,0,0
132744232,32989,807,2,0,0
133443699,28276,825,2,0,0
133467251,82415,622,0,0,0
133579077,18677,823,0,0,0
133820431,89074,601,0,0,0
134336138,51392,760,1,0,0
134724649,35521,570,0,0,0
135691875,79102,742,4,0,0
135803525,36293,832,2,0,0
135895391,70632,791,0,0,0
136385140,61765,893,0,0,0
136905938,63071,783,1,0,0
136952597,85585,720,0,0,0
137484904,61550,624,0,0,0
137567802,73160,567,1,1,1
137604503,92059,734,0,0,0
137933962,64159,571,5,2,1
138129284,56972,821,1,0,0
138159135,14490,586,2,0,0
138425815,91625,627,0,0,0
138581503,45005,893,0,0,0
138949061,96259,402,1,1,1
139271507,76623,707,0,0,0
139694100,77121,803,5,0,0
140235963,73002,720,1,0,0
140357066,84492,816,0,0,0
140425516,50869,544,1,1,1
140510842,17888,650,0,0,0
140511003,70761,662,0,0,0
140616553,16218,857,1,0,0
140868939,13166,681,0,0,0
141210025,61780,704,0,0,0
141962480,95533,755,4,0,0
142318486,26163,858,2,0,0
142811658,83328,728,0,0,0
143494600,88926,721,1,0,0
144322884,56697,581,1,0,0
144864014,55280,625,0,0,0
145124180,37089,608,0,0,0
145163913,92487,692,1,0,0
145214396,84823,650,1,0,0
145628248,32005,552,0,0,0
145660070,61955,373,3,1,2
145679708,61137,708,0,0,0
145734352,46047,542,3,0,0
145758225,41740,893,0,0,0
145828542,76712,731,0,0,0
145832321,13917,874,0,0,0
145859708,10039,738,2,0,0
146948956,70052,632,1,0,0
147260104,90586,510,1,1,1
147282245,24883,655,1,1,1
147424924,24224,545,2,0,0
147450745,50263,789,0,0,0
147798458,98506,606,1,0,0
147998137,24386,792,0,0,0
148103893,17088,564,0,0,0
149028659,45050,596,2,0,0
149144666,22284,723,2,0,0
149726188,21780,709,3,0,0
149776695,61613,678,0,0,0
150095606,69358,551,1,0,0
150294432,81793,880,0,0,0
150698820,86251,663,2,0,0
150978498,74812,564,0,0,0
151309210,16724,610,0,0,0
151455999,38467,842,2,0,0
151727621,44375,738,1,0,0
151751601,68919,727,1,0,0
151879864,30430,777,0,0,0
152150331,32728,784,0,0,0
152379422,62764,670,0,0,0
152649418,20173,761,4,0,0
153694377,33153,605,4,0,0
153886657,25219,573,1,1,1
153921830,62497,654,1,0,0
154890291,51383,866,0,0,0
155245142,94227,676,1,0,0
155419928,31985,815,0,0,0
155730860,37927,629,1,0,0
156947491,22485,600,1,1,1
157235289,35546,723,0,0,0
157487128,73393,873,0,0,0
158037912,58156,739,2,0,0
158654498,70246,727,0,0,0
159079761,38535,700,0,0,0
159165791,15944,550,0,0,0
159623252,36872,677,0,0,0
159979919,50880,732,0,0,0
160051746,91029,743,0,0,0
160453577,38893,584,1,0,0
160973400,51474,775,0,0,0
161744215,75594,809,3,0,0
161968172,28479,601,2,0,0
162184430,26653,510,3,1,1
162773513,92972,715,1,0,0
162871571,66453,657,0,0,0
163524784,19070,652,2,1,1
163699852,17401,847,1,0,0
164082576,35458,861,0,0,0
165823997,64023,879,0,0,0
165917416,13665,868,0,0,0
165963344,21351,394,1,1,1
165978966,14798,727,1,1,1
166178733,13196,656,1,0,0
166197231,27450,643,0,0,0
166324665,14876,707,0,0,0
167260511,50336,855,0,0,0
167278222,61793,831,0,0,0
167553878,57270,864,0,0,0
167973811,68964,763,1,0,0
168387609,33306,880,1,0,0
168443278,52099,728,0,0,0
168468869,79672,370,2,4,1
168508253,62422,833,0,0,0
168992823,77720,860,3,0,0
169068078,17186,715,1,0,0
169571162,33251,704,1,0,0
170348374,22856,822,0,0,0
170836063,17748,639,0,0,0
170922076,61717,651,0,0,0
170934061,80398,676,1,1,1
171167635,43847,752,0,0,0
171405300,59753,578,1,1,1
171673790,11396,531,2,0,0
172095159,72993,763,0,0,0
172632818,85319,797,2,0,0
172780713,70142,596,0,0,0
173225525,32086,561,0,0,0
173634871,73508,572,1,0,0
174171022,63178,868,0,0,0
175211023,39905,788,4,0,0
175239534,21955,579,5,0,0
175459122,91516,757,1,0,0
176649167,65716,593,0,0,0
177008913,44141,843,0,0,0
177710988,43002,879,1,0,0
177868937,14788,630,0,0,0
178307977,83272,806,1,0,0
178611231,34713,627,0,0,0
179235511,14136,557,1,0,0
179338699,83569,659,3,1,1
179344080,60535,785,0,0,0
179626072,60710,609,0,0,0
179771249,26725,447,1,1,1
180020542,85265,723,1,0,0
180169840,31224,551,2,0,0
180523307,24306,675,0,0,0
180625183,68933,618,0,0,0
181187881,59554,634,0,0,0
181252756,57897,584,0,0,0
181333987,42831,575,0,0,0
181804712,41784,840,0,0,0
182075324,50049,736,0,0,0
182759704,58174,847,1,0,0
182820610,40464,528,3,1,2
182979462,40577,703,3,0,0
183715114,17591,676,1,0,0
183861285,10453,628,2,0,0
183888771,10833,486,2,1,1
183888889,66903,554,1,0,0
184026422,71033,694,2,1,1
185378507,35173,592,3,1,1
185572211,92828,620,1,0,0
185883472,11462,646,0,0,0
186077963,70039,632,1,0,0
186368122,35579,767,1,0,0
186943474,39918,690,0,0,0
187008875,71678,644,0,0,0
